"91","ADT","Ada Airport","Ada","USA - Oklahoma","0",
"92","ADU","Ardabil Airport","Ardabil","Iran","0",
"93","ADV","Andover Airport","Andover","United Kingdom","0",
"94","ADW","Andrews Air Force Base","Camp Springs","USA - Maryland","0",
"95","ADX","Leuchars Airport","Saint Andrews","United Kingdom","0",
"96","ADY","Alldays Airport","Alldays","South Africa","0",
"97","ADZ","San Andres Island Airport","San Andres Island","Colombia","0",
"98","AEA","Abemama Atoll Airport","Abemama Atoll","Kiribati","0",
"99","AED","Aleneva Airport","Aleneva","USA - Alaska","0",
"100","AEG","Aek Godang Airport","Aek Godang","Indonesia","0",
"101","AEH","Abecher Airport","Abecher","Mali","0",
"102","AEI","Algeciras Airport","Algeciras","Spain","0",
"103","AEK","Aseki Airport","Aseki","Papua New Guinea","0",
"104","AEL","Albert Lea Airport","Albert Lea","USA - Minnesota","0",
"105","AEO","Aioun El Atrouss Airport","Aioun El Atrouss","Mauritania","0",
"106","AEP","Jorge Newbery Airport","Buenos Aires","Argentina","0",
"107","AER","Adler/Sochi Airport","Adler/Sochi","Russia","0",
"108","AES","Vigra Airport","Aalesund","Norway","0",
"109","AET","Allakaket Airport","Allakaket","USA - Alaska","0",
"110","AEU","Abu Musa Airport","Abu Musa","Iran","0",
"111","AEX","Alexandria International Airport","Alexandria","USA - Louisiana","0",
"112","AEY","Akureyri Airport","Akureyri","Iceland","0",
"113","AFA","San Rafael Airport","San Rafael","Argentina","0",
"114","AFD","Port Alfred Airport","Port Alfred","South Africa","0",
"115","AFF","United States Air Force Academy Airport","Colorado Springs","USA - Colorado","0",
"116","AFI","Amalfi Airport","Amalfi","Colombia","0",
"117","AFL","Alta Floresta Airport","Alta Floresta","Brazil","0",
"118","AFN","Jaffrey Municipal Airport","Jaffrey","USA - New Hampshire","0",
"119","AFO","Afton Municipal Airport","Afton","USA - Wyoming","0",
"120","AFR","Afore Airport","Afore","Papua New Guinea","0",
"121","AFS","Zarafshan Airport","Zarafshan","Uzbekistan","0",
"122","AFT","Afutara Aerodrome","Afutara","Solomon Islands","0",
"123","AFW","Fort Worth Alliance Airport","Fort Worth","USA - Texas","0",
"124","AFY","Afyon Airport","Afyon","Turkey","0",
"125","AFZ","Sabzevar Airport","Sabzevar","Iran","0",
"126","AGA","Agadir Almassira Airport","Agadir","Morocco","0",
"127","AGB","Augsburg - Muehlhausen Airport","Munich","Germany","0",
"128","AGC","Allegheny County Airport","Pittsburgh","USA - Philadelphia","0",
"129","AGD","Anggi Airport","Anggi","Indonesia","0",
"130","AGE","Flugplatz Airport","Wangerooge","Germany","0",
"131","AGF","La Garenne Airport","Agen","France","0",
"132","AGG","Angoram Airport","Angoram","Papua New Guinea","0",
"133","AGH","Angelholm Airport","Angelholm/Helsingborg","Sweden","0",
"134","AGI","Wageningen Airport","Wageningen","Suriname","0",
"135","AGJ","Aguni Airport","Aguni","Japan","0",
"136","AGK","Kagua Airport","Kagua","Papua New Guinea","0",
"137","AGL","Wanigela Airport","Wanigela","Papua New Guinea","0",
"138","AGM","Tasiilaq Airport","Tasiilaq","Greenland","0",
"139","AGN","Angoon Airport","Angoon","USA - Alaska","0",
"140","AGO","Magnolia Municipal Airport","Magnolia","USA - Arkansas","0",
"141","AGP","Malaga Airport","Malaga","Spain","0",
"142","AGQ","Agrinion Airport","Agrinion","Greece","0",
"143","AGR","Kheria Airport","Agra","India","0",
"144","AGS","Bush Field","Augusta","USA - Georgia","0",
"145","AGT","Alejo Garcia Airport","Ciudad del Este","Paraguay","0",
"146","AGU","Aguascalients Airport","Aguascalientes","Mexico","0",
"147","AGV","Acarigua Airport","Acarigua","Venezuela","0",
"148","AGW","Agnew Airport","Agnew","Australia","0",
"149","AGX","Agatti Island Airport","Agatti Island","India","0",
"150","AGY","Argyle Downs Airport","Argyle Downs","Australia","0",
"151","AGZ","Aggeneys Airport","Aggeneys","South Africa","0",
"152","AHA","Naha Air Force Base","Okinawa","Japan","0",
"153","AHB","Abha Airport","Abha","Saudi Arabia","0",
"154","AHC","Amedee Army Air Field","Herlong","USA - California","0",
"155","AHD","Ardmore Downtown Airport","Ardmore","USA - Oklahoma","0",
"156","AHE","Ahe Airport","Ahe","French Polynesia","0",
"157","AHF","Arapahoe Municipal Airport","Arapahoe","USA - Nebraska","0",
"158","AHH","Amery Municipal Airport","Amery","USA - Wisconsin","0",
"159","AHI","Amahai Airport","Amahai","Indonesia","0",
"160","AHL","Aishalton Airport","Aishalton","Guyana","0",
"161","AHN","Athens Airport","Athens","USA - Georgia","0",
"162","AHO","Fertilia Airport","Alghero","Italy","0",
"163","AHS","Ahuas Airport","Ahuas","Honduras","0",
"164","AHU","Charif Al Idrissi Airport","Al Hoceima","Morocco","0",
"165","AHY","Ambatolahy Airport","Ambatolahy","Madagascar","0",
"166","AHZ","Alpe D Huez Airport","Alpe D Huez","France","0",
"167","AIA","Alliance Airport","Alliance","USA - Nebraska","0",
"168","AID","Anderson Municipal Airport","Anderson","USA - Indiana","0",
"169","AIE","Aiome Airport","Aiome","Papua New Guinea","0",
"170","AIF","Assis Airport","Assis","Brazil","0",
"171","AIG","Yalinga Airport","Yalinga","Central African Republic","0",
"172","AIH","Aiambak Airport","Aiambak","Papua New Guinea","0",
"173","AII","Ali-Sabieh Airport","Ali-Sabieh","Djibouti","0",
"174","AIK","Aiken Municipal Airport","Aiken","USA - South Carolina","0",
"175","AIL","Ailigandi Airport","Ailigandi","Panama","0",
"176","AIN","Wainwright Airport","Wainwright","USA - Alaska","0",
"177","AIO","Atlantic Municipal Airport","Atlantic","USA - Iowa","0",
"178","AIP","Ailinglapalap Island Airport","Ailinglapalap Island","Marshall Islands","0",
"179","AIR","Aripuana Airport","Aripuana","Brazil","0",
"180","AIS","Arorae Island Airport","Arorae Island","Kiribati","0",
"181","AIT","Aitutaki Airport","Aitutaki","Cook Islands","0",
