"119","980","Jamdevliya","Gujarat","0",
"120","4634","Chotila","Gujarat","0",
"121","6121","Mathura","Uttar Pradesh","0",
"122","335","Mangadh","Gujarat","0",
"123","8331","Tallur","Karnataka","0",
"124","6400","Naugarh","Uttar Pradesh","0",
"125","8254","Pavithiram","Tamil Nadu","0",
"126","6258","Mummidivaram","Andhra Pradesh","0",
"127","7138","Shambhupura","Rajasthan","0",
"128","4844","Dhola Sasan","Rajasthan","0",
"129","4561","Chengannur","Kerala","0",
"130","5732","Kolkata","West Bengal","0",
"131","7301","Sukhpar","Gujarat","0",
"132","534","Thrippunithura  Kochi","Kerala","0",
"133","7953","Tharangambadi","Tamil Nadu","0",
"134","397","Bassi, Himachal Pradesh","Himachal Pradesh","0",
"135","1233","Godhawata","Gujarat","0",
"136","7258","Siwani","Haryana","0",
"137","4880","Dron","Gujarat","0",
"138","602","Chail-Chowk","Himachal Pradesh","0",
"139","7885","Ludeg","Chhattisgarh","0",
"140","5829","Kumhari","Madhya Pradesh","0",
"141","207","Kodagu","Karnataka","0",
"142","6712","Pippara","Andhra Pradesh","0",
"143","4579","Chher (Atps Colony)","Gujarat","0",
"144","7037","Sankeshwar","Karnataka","0",
"145","7709","Walandi","Maharashtra","0",
"146","4446","Bodinayakanur","Tamil Nadu","0",
"147","4889","Duliyana","Rajasthan","0",
"148","6971","Sahara","Rajasthan","0",
"149","7449","Thodupuzha","Kerala","0",
"150","5061","Gonda","Uttar Pradesh","0",
"151","6399","Naugaon, Odisha","Odisha","0",
"152","1076","Rol","Rajasthan","0",
"153","1231","Dhekan Moha","Maharashtra","0",
"154","4102","Badnera","Maharashtra","0",
"155","6855","Ramgadh","Gujarat","0",
"156","6418","Nedumpoil","Kerala","0",
"157","5004","Garhwa","Jharkhand","0",
"158","8336","Kumragod","Karnataka","0",
"159","5951","Luvara","Gujarat","0",
"160","7723","Wyra","Telangana","0",
"161","4228","Barela","Madhya Pradesh","0",
"162","6170","Modran","Rajasthan","0",
"163","8456","Bangla","Karnataka","0",
"164","10328","Soron","Uttar Pradesh","0",
"165","4461","Borsad","Gujarat","0",
"166","5535","Karnal, Haryana","Haryana","0",
"167","6611","Parli","Maharashtra","0",
"168","3955","Amba, Maharashtra","Maharashtra","0",
"169","97","Hiriadka","Karnataka","0",
"170","8127","Kattappana","Kerala","0",
"171","4604","Chinchali","Maharashtra","0",
"172","10289","Ropari","Himachal Pradesh","0",
"173","319","Vaitheeswarankovil","Tamil Nadu","0",
"174","4198","Bangla Choraha","Madhya Pradesh","0",
"175","7084","Satlasana","Gujarat","0",
"176","7101","Sayalgudi","Tamil Nadu","0",
"177","7954","Mandapam","Tamil Nadu","0",
"178","6153","Mengalwa","Rajasthan","0",
"179","3926","Aland","Karnataka","0",
"180","763","Banda, Uttar Pradesh","Uttar Pradesh","0",
"181","7448","Thisayanvilai","Tamil Nadu","0",
"182","7465","Timarni","Madhya Pradesh","0",
"183","407","Bhutti","Himachal Pradesh","0",
"184","356","Chatrapur","Odisha","0",
"185","8391","Bahraich","Uttar Pradesh","0",
"186","10322","Chhutmalpur","Uttar Pradesh","0",
"187","6130","Mavingundi","Karnataka","0",
"188","417","Chindi","Himachal Pradesh","0",
"189","8425","Kozhuvanal","Kerala","0",
"190","746","Naraingarh","Haryana","0",
"191","5102","Gullapur","Karnataka","0",
"192","3913","Ajeetgarh","Rajasthan","0",
"193","6671","Perumanallur","Tamil Nadu","0",
"194","4709","Daryapur","Maharashtra","0",
"195","893","Kaviti","Andhra Pradesh","0",
"196","8268","Cholapuram","Tamil Nadu","0",
"197","5895","Lanva","Gujarat","0",
"198","4557","Chejerla","Andhra Pradesh","0",
"199","5227","Indi","Karnataka","0",
"200","5774","Kothacheruvu","Andhra Pradesh","0",
"201","8404","Bobbili","Andhra Pradesh","0",
"202","7187","Shobhapur","Madhya Pradesh","0",
"203","6195","Mortakka","Madhya Pradesh","0",
"204","6930","Railmagra","Rajasthan","0",
"205","10141","Nardipur","Gujarat","0",
"206","1002","Triveniganj","Bihar","0",
"207","6738","Porbandar","Gujarat","0",
"208","4069","Aurangabad, Bihar","Bihar","0",
"209","7173","Shiroda","Maharashtra","0",
"210","4150","Balapur, Maharashtra","Maharashtra","0",
"211","8461","Nizamabad, Telangana","Telangana","0",
"212","10103","Adiyakkamangalam","Tamil Nadu","0",
"213","1202","Retur","Andhra Pradesh","0",
"214","496","Kotla","Himachal Pradesh","0",
"215","4743","Denap","Gujarat","0",
"216","17","Karanji","Maharashtra","0",
"217","8397","Katra, Uttar Pradesh","Uttar Pradesh","0",
"218","568","Sulakkarai","Tamil Nadu","0",
"219","5559","Katargaon","Madhya Pradesh","0",
"220","6999","Samagoga","Gujarat","0",
"221","5653","Khategaon","Madhya Pradesh","0",
"222","5515","Karapa","Andhra Pradesh","0",
"223","5981","Maharana","Haryana","0",
"224","6008","Maldabhadi","Maharashtra","0",
"225","8056","Panruti","Tamil Nadu","0",
"226","4041","Arvi","Maharashtra","0",
"227","7565","Uttarsanda","Gujarat","0",
"228","1086","Yelamanchili","Andhra Pradesh","0",
"229","10355","Piploda","Madhya Pradesh","0",
"230","1032","Arjuni","Maharashtra","0",
"231","1059","Aswaraopeta","Telangana","0",
"232","5760","Korukollu","Andhra Pradesh","0",
"233","4993","Gangtok","Sikkim","0",
"234","5457","Kamrej","Gujarat","0",
"235","339","Dalla","Uttar Pradesh","0",
"236","5221","Idar","Gujarat","0",
"237","8107","Pavoorchatram","Tamil Nadu","0",
"238","6883","Ranghola","Gujarat","0",
"239","1062","Sudhar","Punjab","0",
"240","5552","Kasegaon","Maharashtra","0",
"241","1161","Uravakonda","Andhra Pradesh","0",
"242","6911","Raval","Gujarat","0",
"243","6085","Manjeri","Kerala","0",
"244","7935","Kuknoor","Karnataka","0",
"245","546","Searmau","Madhya Pradesh","0",
"246","6699","Pinjore","Haryana","0",
"247","6572","Pangaon","Maharashtra","0",
"248","6552","Palsana","Rajasthan","0",
"249","7319","Sunel","Rajasthan","0",
"250","6357","Nanguneri","Tamil Nadu","0",
"251","7364","Talni","Maharashtra","0",
"252","556","Azahiamandapam","Tamil Nadu","0",
"253","15","Rajmarg","Madhya Pradesh","0",
"254","8441","Sikka","Gujarat","0",
"255","7512","Udgir","Maharashtra","0",
"256","184","Perungalathur","Tamil Nadu","0",
"257","10402","Akhara Balapur","Maharashtra","0",
"258","5134","Haldwani","Uttarakhand","0",
"259","181","Vamanapuram","Kerala","0",
"260","330","Pali Birsinghpur","Madhya Pradesh","0",
"261","8470","Tintarwani","Maharashtra","0",
"262","7404","Telaprolu","Andhra Pradesh","0",
"263","6802","Raipura","Madhya Pradesh","0",
"264","4698","Dapoli","Maharashtra","0",
"265","5373","Juvvalapalem","Andhra Pradesh","0",
"266","6177","Mohania","Bihar","0",
"267","1238","Barwala, Gujarat","Gujarat","0",
"268","8431","Tallada","Telangana","0",
"269","858","Pullupara","Kerala","0",
"270","6909","Rau","Madhya Pradesh","0",
"271","8255","Nagalapuram","Andhra Pradesh","0",
"272","7322","Supedi","Gujarat","0",
"273","7180","Shiv","Rajasthan","0",
"274","6805","Raisen","Madhya Pradesh","0",
"275","4796","Dhank","Gujarat","0",
"276","5288","Jamkandorana","Gujarat","0",
"277","5543","Karuvanchal","Kerala","0",
"278","7764","Savanur","Karnataka","0",
"279","4472","Budsu","Rajasthan","0",
"280","4096","Badi Safer","Rajasthan","0",
"281","4075","Ayodhya","Uttar Pradesh","0",
"282","7504","Tuni","Andhra Pradesh","0",
"283","4333","Bhansi","Chhattisgarh","0",
"284","7974","Chamarajanagar","Karnataka","0",
"285","4282","Begusarai","Bihar","0",
"286","5827","Kumbla (Kumble)","Kerala","0",
"287","3880","Abohar","Punjab","0",
"288","5906","Latur","Maharashtra","0",
"289","1199","Tumuluru","Andhra Pradesh","0",
"290","10365","Saoli","Maharashtra","0",
"291","7259","Siyana","Rajasthan","0",
"292","7026","Sangarh","Rajasthan","0",
"293","988","Bhamodra","Gujarat","0",
"294","901","Kaligiri","Andhra Pradesh","0",
"295","7225","Sindkheda","Maharashtra","0",
"296","4360","Bhesan","Gujarat","0",
"297","3897","Advana","Gujarat","0",
"298","4","Mauranipur","Uttar Pradesh","0",
"299","7212","Sildar","Rajasthan","0",
"300","752","Nainikhad","Himachal Pradesh","0",
"301","7366","Taloda","Maharashtra","0",
"302","7057","Sarat","Rajasthan","0",
"303","4229","Bareli","Madhya Pradesh","0",
"304","8040","Buxar","Bihar","0",
"305","261","Raghogarh","Madhya Pradesh","0",
"306","847","Simrahi","Bihar","0",
"307","6567","Pandharpur","Maharashtra","0",
"308","1172","Gabbur","Karnataka","0",
"309","5092","Gudamalani","Rajasthan","0",
"310","1234","Sundariyana","Gujarat","0",
"311","5566","Kathua","Jammu and Kashmir","0",
"312","5994","Majalgaon","Maharashtra","0",
"313","5659","Khed","Maharashtra","0",
"314","5230","Indore","Madhya Pradesh","0",
"315","8041","Lakshmangudi  Koothanallur","Tamil Nadu","0",
"316","6087","Mankuwa","Gujarat","0",
"317","6908","Rattihalli","Karnataka","0",
"318","5876","Lakhimpur","Uttar Pradesh","0",
"319","7511","Udangudi","Tamil Nadu","0",
"320","3992","Anantapur","Andhra Pradesh","0",
"321","108","Charbhuja  Rawatbhata","Rajasthan","0",
"322","6452","Nikumbh","Rajasthan","0",
"323","617","Tikkar","Himachal Pradesh","0",
"324","8287","Ambalur","Tamil Nadu","0",
"325","239","Doiphodia","Madhya Pradesh","0",
"326","7634","Vavera","Gujarat","0",
"327","10480","Akala","Gujarat","0",
"328","6745","Potlan","Rajasthan","0",
"329","5283","Jambala","Gujarat","0",
"330","751","Nehiriana","Himachal Pradesh","0",
"331","5226","Indapur","Maharashtra","0",
"332","817","Suryapet","Telangana","0",
"333","4825","Dharmjaygarh","Chhattisgarh","0",
"334","5120","Gurram Konda","Andhra Pradesh","0",
"335","10490","Umred","Maharashtra","0",
"336","4350","Bhavnagar","Gujarat","0",
"337","10158","Padel  Pural","Maharashtra","0",
"338","340","Mohgaon","Madhya Pradesh","0",
"339","122","Neri, Maharashtra","Maharashtra","0",
"340","6670","Perla","Kerala","0",
"341","10484","Asop","Rajasthan","0",
"342","942","Daulatgarh","Rajasthan","0",
"343","7018","Sanderao","Rajasthan","0",
"344","5908","Lavasa","Maharashtra","0",
"345","5185","Herikudru","Karnataka","0",
"346","8230","Chhapra, Bihar","Bihar","0",
"347","6135","Mayapadar","Gujarat","0",
"348","5562","Kathgodam","Uttarakhand","0",
"349","6238","Mulakalacheruvu","Andhra Pradesh","0",
"350","7226","Singarayakonda","Andhra Pradesh","0",
"351","7724","Yaragatti","Karnataka","0",
"352","4493","Chadi","Rajasthan","0",
"353","5091","Gudalur","Tamil Nadu","0",
"354","7417","Thalavaipuram","Tamil Nadu","0",
"355","95","Ugar Budruk","Karnataka","0",
"356","7117","Sevagram","Maharashtra","0",
"357","8343","Ampar","Karnataka","0",
"358","7461","Tijara","Rajasthan","0",
"359","7682","Visarwadi","Maharashtra","0",
"360","5976","Mahabalipuram","Tamil Nadu","0",
"361","6209","Mothara","Gujarat","0",
"362","1008","Diveagar","Maharashtra","0",
"363","6723","Podili","Andhra Pradesh","0",
"364","4474","Buldana","Maharashtra","0",
"365","315","Sukhpar  Bhuj","Gujarat","0",
"366","4587","Chicholi","Madhya Pradesh","0",
"367","4060","Atpadi","Maharashtra","0",
"368","5530","Karjan","Gujarat","0",
"369","8276","Thevaram","Tamil Nadu","0",
"370","6306","Nageshwar","Madhya Pradesh","0",
"371","8156","Veeravanallur","Tamil Nadu","0",
"372","8110","Kollidam","Tamil Nadu","0",
"373","7689","Vithon","Gujarat","0",
"374","1133","Mulur","Karnataka","0",
"375","903","Jarugumalli","Andhra Pradesh","0",
"376","6392","Nasirabad, Rajasthan","Rajasthan","0",
"377","6752","Pratapgarh, Rajasthan","Rajasthan","0",
"378","23","Sayla, Rajasthan","Rajasthan","0",
"379","373","Kamargaon","Maharashtra","0",
"380","6979","Sailana","Madhya Pradesh","0",
